,class predicted,prob_class_0,prob_class_1
0,0,1.0,0.0
1,0,1.0,0.0
2,0,1.0,0.0
3,0,1.0,0.0
4,0,1.0,0.0
5,0,1.0,0.0
6,0,1.0,0.0
7,0,1.0,0.0
8,0,1.0,0.0
9,0,1.0,0.0
10,0,1.0,0.0
11,0,1.0,0.0
12,0,1.0,0.0
13,0,1.0,0.0
14,0,1.0,0.0
15,0,1.0,0.0
16,0,1.0,0.0
17,0,1.0,0.0
18,0,1.0,0.0
19,0,1.0,0.0
20,0,1.0,0.0
21,0,1.0,0.0
22,0,1.0,0.0
23,0,1.0,0.0
24,0,1.0,0.0
25,0,1.0,0.0
26,0,1.0,0.0
27,0,1.0,0.0
28,0,1.0,0.0
29,0,1.0,0.0
30,0,1.0,0.0
31,0,1.0,0.0
32,0,1.0,0.0
33,0,1.0,0.0
34,0,1.0,0.0
35,0,1.0,0.0
36,0,1.0,0.0
37,0,1.0,0.0
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,0,0.9909,0.0091
43,0,0.9163,0.0837
44,1,0.2831,0.7169
45,1,0.033,0.967
46,1,0.0004,0.9996
47,1,0.0011,0.9989
48,1,0.0044,0.9956
49,1,0.0034,0.9966
50,1,0.003,0.997
51,1,0.011,0.989
52,1,0.0009,0.9991
53,1,0.0018,0.9982
54,1,0.0015,0.9985
55,1,0.0006,0.9994
56,1,0.0,1.0
57,1,0.0,1.0
58,1,0.0,1.0
59,1,0.0,1.0
60,1,0.0,1.0
61,1,0.0,1.0
62,1,0.0,1.0
63,1,0.0018,0.9982
64,1,0.003,0.997
65,1,0.0176,0.9824
66,1,0.0036,0.9964
67,1,0.0005,0.9995
68,1,0.0009,0.9991
69,1,0.0003,0.9997
70,1,0.0,1.0
71,1,0.0,1.0
72,1,0.0,1.0
73,1,0.0,1.0
74,1,0.0,1.0
75,1,0.0,1.0
76,1,0.0004,0.9996
77,1,0.0014,0.9986
78,1,0.0019,0.9981
79,1,0.0046,0.9954
80,1,0.0002,0.9998
81,1,0.0004,0.9996
82,1,0.0068,0.9932
83,1,0.1139,0.8861
84,1,0.0676,0.9324
85,1,0.16,0.84
86,0,0.8126,0.1874
87,0,0.9643,0.0357
88,0,0.9894,0.0106
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,1.0,0.0
94,0,1.0,0.0
95,0,1.0,0.0
96,0,1.0,0.0
97,0,1.0,0.0
98,0,1.0,0.0
99,0,1.0,0.0
100,0,1.0,0.0
101,0,1.0,0.0
102,0,1.0,0.0
103,0,1.0,0.0
104,0,1.0,0.0
105,0,1.0,0.0
106,0,1.0,0.0
107,0,1.0,0.0
108,0,1.0,0.0
109,0,1.0,0.0
110,0,1.0,0.0
111,0,1.0,0.0
112,0,1.0,0.0
113,0,1.0,0.0
114,0,1.0,0.0
115,0,1.0,0.0
116,0,1.0,0.0
117,0,1.0,0.0
118,0,1.0,0.0
119,0,1.0,0.0
120,0,1.0,0.0
121,0,1.0,0.0
122,0,1.0,0.0
123,0,1.0,0.0
124,0,1.0,0.0
125,0,1.0,0.0
126,0,1.0,0.0
127,0,1.0,0.0
128,0,1.0,0.0
129,0,1.0,0.0
130,0,1.0,0.0
131,0,1.0,0.0
132,0,1.0,0.0
133,0,1.0,0.0
134,0,1.0,0.0
135,0,1.0,0.0
136,0,1.0,0.0
137,0,1.0,0.0
138,0,1.0,0.0
139,0,1.0,0.0
140,0,1.0,0.0
141,0,1.0,0.0
142,0,1.0,0.0
143,0,1.0,0.0
144,0,1.0,0.0
145,0,1.0,0.0
146,0,0.9998,0.0002
147,0,0.9454,0.0546
148,1,0.155,0.845
149,1,0.3102,0.6898
150,1,0.0114,0.9886
151,1,0.1415,0.8585
152,1,0.1883,0.8117
153,1,0.0173,0.9827
154,1,0.0005,0.9995
155,1,0.0015,0.9985
156,1,0.0056,0.9944
157,1,0.1408,0.8592
158,0,0.9701,0.0299
159,0,0.9842,0.0158
160,0,0.977,0.023
161,0,0.9794,0.0206
162,0,0.9992,0.0008
163,0,0.9985,0.0015
164,0,0.9997,0.0003
165,0,1.0,0.0
166,0,1.0,0.0
167,0,1.0,0.0
168,0,1.0,0.0
169,0,1.0,0.0
170,0,1.0,0.0
171,0,1.0,0.0
