,class predicted,prob_class_0,prob_class_1
0,1,0.03,0.97
1,1,0.02,0.98
2,1,0.07,0.93
3,1,0.1,0.9
4,1,0.02,0.98
5,1,0.05,0.95
6,1,0.12,0.88
7,1,0.15,0.85
8,1,0.18,0.82
9,1,0.19,0.81
10,1,0.2,0.8
11,1,0.26,0.74
12,1,0.37,0.63
13,1,0.34,0.66
14,1,0.44,0.56
15,1,0.44,0.56
16,0,0.5,0.5
17,1,0.45,0.55
18,0,0.55,0.45
19,0,0.67,0.33
20,0,0.71,0.29
21,0,0.78,0.22
22,0,0.82,0.18
23,0,0.8,0.2
24,0,0.83,0.17
25,0,0.8,0.2
26,0,0.79,0.21
27,0,0.81,0.19
28,0,0.81,0.19
29,0,0.85,0.15
30,0,0.9,0.1
31,0,0.89,0.11
32,0,0.85,0.15
33,0,0.79,0.21
34,0,0.78,0.22
35,0,0.75,0.25
36,0,0.76,0.24
37,0,0.77,0.23
38,0,0.75,0.25
39,0,0.9,0.1
40,0,0.93,0.07
41,0,0.9,0.1
42,0,0.91,0.09
43,0,0.93,0.07
44,0,0.9,0.1
45,0,0.87,0.13
46,0,0.87,0.13
47,0,0.84,0.16
48,0,0.83,0.17
49,0,0.85,0.15
50,0,0.85,0.15
51,0,0.9,0.1
52,0,0.9,0.1
53,0,0.91,0.09
54,0,0.88,0.12
55,0,0.92,0.08
56,0,0.95,0.05
57,0,0.92,0.08
58,0,0.93,0.07
59,0,0.92,0.08
60,0,0.95,0.05
61,0,0.96,0.04
62,0,0.96,0.04
63,0,0.94,0.06
64,0,0.93,0.07
65,0,0.91,0.09
66,0,0.92,0.08
67,0,0.85,0.15
68,0,0.8,0.2
69,0,0.82,0.18
70,0,0.78,0.22
71,0,0.84,0.16
72,0,0.8,0.2
73,0,0.81,0.19
74,0,0.79,0.21
75,0,0.7,0.3
76,0,0.74,0.26
77,0,0.75,0.25
78,0,0.75,0.25
79,0,0.69,0.31
80,0,0.7,0.3
81,0,0.78,0.22
82,0,0.74,0.26
83,0,0.82,0.18
84,0,0.86,0.14
85,0,0.91,0.09
86,0,0.94,0.06
87,0,0.95,0.05
88,0,0.93,0.07
89,0,0.91,0.09
90,0,0.91,0.09
91,0,0.87,0.13
