,class predicted,prob_class_0,prob_class_1
0,0,0.95,0.05
1,0,0.96,0.04
2,0,0.98,0.02
3,0,0.98,0.02
4,0,0.96,0.04
5,0,0.96,0.04
6,0,0.96,0.04
7,0,0.92,0.08
8,0,0.93,0.07
9,0,0.86,0.14
10,0,0.89,0.11
11,0,0.92,0.08
12,0,0.93,0.07
13,0,0.93,0.07
14,0,0.96,0.04
15,0,0.9,0.1
16,0,0.86,0.14
17,0,0.86,0.14
18,0,0.83,0.17
19,0,0.85,0.15
20,0,0.88,0.12
21,0,0.79,0.21
22,0,0.77,0.23
23,0,0.76,0.24
24,0,0.77,0.23
25,0,0.78,0.22
26,0,0.75,0.25
27,0,0.82,0.18
28,0,0.77,0.23
29,0,0.75,0.25
30,0,0.76,0.24
31,0,0.78,0.22
32,0,0.74,0.26
33,0,0.77,0.23
34,0,0.72,0.28
35,0,0.7,0.3
36,0,0.69,0.31
37,0,0.77,0.23
38,0,0.83,0.17
39,0,0.86,0.14
40,0,0.91,0.09
41,0,0.85,0.15
42,0,0.9,0.1
43,0,0.92,0.08
44,0,0.94,0.06
45,0,0.92,0.08
46,0,0.93,0.07
47,0,0.95,0.05
48,0,0.88,0.12
49,0,0.94,0.06
50,0,0.93,0.07
51,0,0.9,0.1
52,0,0.92,0.08
53,0,0.95,0.05
54,0,0.94,0.06
55,0,0.93,0.07
56,0,0.91,0.09
57,0,0.87,0.13
58,0,0.9,0.1
59,0,0.9,0.1
60,0,0.89,0.11
61,0,0.88,0.12
62,0,0.86,0.14
63,0,0.89,0.11
64,0,0.81,0.19
65,0,0.74,0.26
66,0,0.78,0.22
67,0,0.75,0.25
68,0,0.72,0.28
69,0,0.64,0.36
70,0,0.71,0.29
71,0,0.73,0.27
72,0,0.76,0.24
73,0,0.87,0.13
74,0,0.92,0.08
75,0,0.93,0.07
76,0,0.96,0.04
77,0,0.94,0.06
78,0,0.92,0.08
79,0,0.92,0.08
80,0,0.85,0.15
81,0,0.86,0.14
82,0,0.88,0.12
83,0,0.91,0.09
84,0,0.89,0.11
85,0,0.87,0.13
86,0,0.91,0.09
87,0,0.88,0.12
88,0,0.92,0.08
89,0,0.91,0.09
90,0,0.94,0.06
91,0,0.92,0.08
92,0,0.95,0.05
93,0,0.94,0.06
94,0,0.99,0.01
95,0,0.99,0.01
96,0,0.99,0.01
97,0,1.0,0.0
98,0,0.99,0.01
99,0,0.98,0.02
100,0,0.98,0.02
101,0,0.95,0.05
102,0,0.94,0.06
103,0,0.94,0.06
104,0,0.92,0.08
105,0,0.9,0.1
106,0,0.87,0.13
107,0,0.92,0.08
108,0,0.89,0.11
109,0,0.9,0.1
110,0,0.86,0.14
111,0,0.75,0.25
112,0,0.79,0.21
113,0,0.78,0.22
114,0,0.76,0.24
115,0,0.76,0.24
116,0,0.81,0.19
117,0,0.83,0.17
118,0,0.81,0.19
119,0,0.83,0.17
120,0,0.75,0.25
121,0,0.84,0.16
122,0,0.87,0.13
123,0,0.87,0.13
124,0,0.94,0.06
125,0,0.92,0.08
126,0,0.9,0.1
127,0,0.85,0.15
128,0,0.79,0.21
129,0,0.81,0.19
130,0,0.8,0.2
131,0,0.81,0.19
132,0,0.8,0.2
133,0,0.82,0.18
134,0,0.88,0.12
135,0,0.89,0.11
136,0,0.87,0.13
137,0,0.85,0.15
138,0,0.88,0.12
139,0,0.86,0.14
140,0,0.87,0.13
141,0,0.88,0.12
142,0,0.89,0.11
143,0,0.92,0.08
144,0,0.86,0.14
145,0,0.95,0.05
146,0,0.91,0.09
147,0,0.93,0.07
148,0,0.9,0.1
149,0,0.9,0.1
150,0,0.84,0.16
151,0,0.85,0.15
152,0,0.86,0.14
153,0,0.86,0.14
154,0,0.84,0.16
155,0,0.89,0.11
156,0,0.89,0.11
157,0,0.92,0.08
158,0,0.9,0.1
159,0,0.89,0.11
160,0,0.89,0.11
161,0,0.9,0.1
162,0,0.95,0.05
163,0,0.94,0.06
164,0,0.88,0.12
165,0,0.87,0.13
166,0,0.86,0.14
167,0,0.86,0.14
168,0,0.91,0.09
169,0,0.96,0.04
170,0,0.96,0.04
171,0,0.96,0.04
172,0,0.95,0.05
173,0,0.95,0.05
174,0,0.92,0.08
175,0,0.91,0.09
176,0,0.94,0.06
177,0,0.92,0.08
178,0,0.96,0.04
179,0,0.97,0.03
180,0,0.98,0.02
181,0,0.97,0.03
182,0,0.99,0.01
183,0,0.98,0.02
184,0,1.0,0.0
185,0,1.0,0.0
186,0,0.99,0.01
187,0,0.99,0.01
188,0,0.98,0.02
189,0,0.98,0.02
190,0,0.98,0.02
191,0,0.98,0.02
192,0,0.96,0.04
193,0,0.95,0.05
194,0,0.96,0.04
195,0,0.98,0.02
196,0,0.94,0.06
197,0,0.88,0.12
198,0,0.91,0.09
199,0,0.9,0.1
200,0,0.89,0.11
201,0,0.92,0.08
202,0,0.87,0.13
203,0,0.88,0.12
204,0,0.86,0.14
205,0,0.86,0.14
206,0,0.86,0.14
207,0,0.82,0.18
208,0,0.85,0.15
209,0,0.87,0.13
210,0,0.78,0.22
211,0,0.77,0.23
212,0,0.77,0.23
213,0,0.82,0.18
214,0,0.77,0.23
215,0,0.76,0.24
216,0,0.75,0.25
217,0,0.77,0.23
218,0,0.83,0.17
219,0,0.77,0.23
220,0,0.7,0.3
221,0,0.65,0.35
222,0,0.67,0.33
223,0,0.64,0.36
224,0,0.7,0.3
225,0,0.71,0.29
226,0,0.71,0.29
227,0,0.71,0.29
228,0,0.79,0.21
229,0,0.86,0.14
230,0,0.86,0.14
231,0,0.84,0.16
232,0,0.83,0.17
233,0,0.84,0.16
234,0,0.88,0.12
235,0,0.89,0.11
236,0,0.91,0.09
237,0,0.88,0.12
238,0,0.89,0.11
239,0,0.9,0.1
240,0,0.86,0.14
241,0,0.85,0.15
242,0,0.89,0.11
243,0,0.82,0.18
244,0,0.82,0.18
245,0,0.82,0.18
246,0,0.82,0.18
247,0,0.79,0.21
248,0,0.84,0.16
249,0,0.86,0.14
250,0,0.8,0.2
251,0,0.82,0.18
252,0,0.84,0.16
253,0,0.85,0.15
254,0,0.87,0.13
255,0,0.9,0.1
256,0,0.91,0.09
257,0,0.89,0.11
258,0,0.86,0.14
259,0,0.86,0.14
260,0,0.87,0.13
261,0,0.93,0.07
262,0,0.97,0.03
263,0,0.91,0.09
264,0,0.87,0.13
265,0,0.92,0.08
266,0,0.89,0.11
267,0,0.91,0.09
268,0,0.92,0.08
269,0,0.94,0.06
270,0,0.9,0.1
271,0,0.93,0.07
272,0,0.95,0.05
273,0,0.94,0.06
274,0,0.95,0.05
275,0,0.97,0.03
276,0,1.0,0.0
277,0,0.98,0.02
278,0,0.99,0.01
279,0,0.99,0.01
280,0,1.0,0.0
281,0,0.98,0.02
282,0,0.98,0.02
283,0,0.93,0.07
284,0,0.9,0.1
285,0,0.89,0.11
286,0,0.88,0.12
287,0,0.93,0.07
288,0,0.93,0.07
289,0,0.92,0.08
290,0,0.95,0.05
291,0,0.93,0.07
292,0,0.95,0.05
293,0,0.94,0.06
294,0,0.94,0.06
295,0,0.89,0.11
296,0,0.9,0.1
297,0,0.89,0.11
298,0,0.9,0.1
299,0,0.89,0.11
300,0,0.87,0.13
301,0,0.92,0.08
302,0,0.88,0.12
303,0,0.86,0.14
304,0,0.85,0.15
305,0,0.81,0.19
306,0,0.84,0.16
307,0,0.8,0.2
308,0,0.87,0.13
309,0,0.87,0.13
310,0,0.87,0.13
311,0,0.86,0.14
312,0,0.86,0.14
313,0,0.87,0.13
314,0,0.84,0.16
315,0,0.9,0.1
316,0,0.9,0.1
317,0,0.82,0.18
318,0,0.81,0.19
319,0,0.86,0.14
320,0,0.88,0.12
321,0,0.89,0.11
322,0,0.8,0.2
323,0,0.8,0.2
324,0,0.81,0.19
325,0,0.83,0.17
326,0,0.84,0.16
327,0,0.82,0.18
328,0,0.86,0.14
329,0,0.86,0.14
330,0,0.89,0.11
331,0,0.89,0.11
332,0,0.91,0.09
333,0,0.95,0.05
334,0,0.95,0.05
335,0,0.97,0.03
336,0,0.99,0.01
337,0,0.99,0.01
338,0,0.96,0.04
339,0,0.96,0.04
340,0,0.96,0.04
341,0,0.98,0.02
342,0,0.94,0.06
343,0,0.93,0.07
344,0,0.94,0.06
345,0,0.89,0.11
346,0,0.82,0.18
347,0,0.77,0.23
348,0,0.81,0.19
349,0,0.8,0.2
350,0,0.75,0.25
351,0,0.77,0.23
352,0,0.8,0.2
353,0,0.85,0.15
354,0,0.82,0.18
355,0,0.82,0.18
356,0,0.78,0.22
357,0,0.75,0.25
358,0,0.78,0.22
359,0,0.75,0.25
360,0,0.74,0.26
361,0,0.82,0.18
362,0,0.8,0.2
363,0,0.83,0.17
364,0,0.81,0.19
365,0,0.87,0.13
366,0,0.84,0.16
367,0,0.84,0.16
368,0,0.84,0.16
369,0,0.76,0.24
370,0,0.75,0.25
371,0,0.77,0.23
372,0,0.75,0.25
373,0,0.83,0.17
374,0,0.87,0.13
375,0,0.88,0.12
376,0,0.85,0.15
377,0,0.87,0.13
378,0,0.98,0.02
379,0,0.93,0.07
380,0,0.97,0.03
381,0,0.95,0.05
382,0,0.93,0.07
383,0,0.9,0.1
384,0,0.91,0.09
385,0,0.89,0.11
386,0,0.86,0.14
387,0,0.83,0.17
388,0,0.9,0.1
389,0,0.88,0.12
390,0,0.79,0.21
391,0,0.82,0.18
392,0,0.71,0.29
393,0,0.69,0.31
394,0,0.69,0.31
395,0,0.67,0.33
396,0,0.72,0.28
397,0,0.7,0.3
398,0,0.74,0.26
399,0,0.73,0.27
400,0,0.74,0.26
401,0,0.75,0.25
402,0,0.78,0.22
403,0,0.81,0.19
404,0,0.8,0.2
405,0,0.85,0.15
406,0,0.84,0.16
407,0,0.84,0.16
408,0,0.86,0.14
409,0,0.85,0.15
410,0,0.88,0.12
411,0,0.9,0.1
412,0,0.89,0.11
413,0,0.88,0.12
414,0,0.88,0.12
415,0,0.86,0.14
416,0,0.91,0.09
417,0,0.9,0.1
418,0,0.91,0.09
419,0,0.91,0.09
420,0,0.91,0.09
421,0,0.91,0.09
422,0,0.89,0.11
423,0,0.86,0.14
424,0,0.93,0.07
425,0,0.88,0.12
426,0,0.83,0.17
427,0,0.8,0.2
428,0,0.91,0.09
429,0,0.96,0.04
430,0,0.93,0.07
431,0,0.88,0.12
432,0,0.88,0.12
433,0,0.9,0.1
434,0,0.9,0.1
435,0,0.9,0.1
436,0,0.92,0.08
437,0,0.91,0.09
438,0,0.89,0.11
439,0,0.88,0.12
440,0,0.93,0.07
441,0,0.93,0.07
442,0,0.95,0.05
443,0,0.86,0.14
444,0,0.77,0.23
445,0,0.86,0.14
446,0,0.86,0.14
447,0,0.8,0.2
448,0,0.85,0.15
449,0,0.76,0.24
450,0,0.77,0.23
451,0,0.72,0.28
452,0,0.73,0.27
453,0,0.78,0.22
454,0,0.69,0.31
455,0,0.68,0.32
456,0,0.78,0.22
457,0,0.82,0.18
458,0,0.79,0.21
459,0,0.83,0.17
460,0,0.85,0.15
461,0,0.91,0.09
462,0,0.93,0.07
463,0,0.95,0.05
464,0,0.9,0.1
465,0,0.92,0.08
466,0,0.98,0.02
467,0,1.0,0.0
468,0,0.93,0.07
469,0,0.96,0.04
470,0,0.9,0.1
471,0,0.95,0.05
472,0,0.94,0.06
473,0,0.98,0.02
474,0,0.95,0.05
475,0,0.96,0.04
476,0,0.98,0.02
477,0,0.99,0.01
478,0,1.0,0.0
479,0,0.99,0.01
480,0,0.98,0.02
481,0,0.98,0.02
482,0,1.0,0.0
483,0,0.99,0.01
484,0,1.0,0.0
485,0,1.0,0.0
486,0,0.98,0.02
487,0,0.96,0.04
488,0,0.94,0.06
489,0,0.96,0.04
490,0,0.95,0.05
