,class predicted,prob_class_0,prob_class_1
0,0,0.55,0.45
1,0,0.5,0.5
2,0,0.68,0.32
3,0,0.7,0.3
4,0,0.63,0.37
5,0,0.7,0.3
6,0,0.6,0.4
7,0,0.71,0.29
8,0,0.72,0.28
9,0,0.77,0.23
10,0,0.7,0.3
11,0,0.7,0.3
12,0,0.7,0.3
13,0,0.68,0.32
14,0,0.78,0.22
15,0,0.8,0.2
16,0,0.8,0.2
17,0,0.74,0.26
18,0,0.78,0.22
19,0,0.85,0.15
20,0,0.78,0.22
21,0,0.78,0.22
22,0,0.74,0.26
23,0,0.76,0.24
24,0,0.82,0.18
25,0,0.83,0.17
26,0,0.8,0.2
27,0,0.78,0.22
28,0,0.76,0.24
29,0,0.8,0.2
30,0,0.87,0.13
31,0,0.82,0.18
32,0,0.73,0.27
33,0,0.72,0.28
34,0,0.75,0.25
35,0,0.76,0.24
36,0,0.8,0.2
37,0,0.74,0.26
38,0,0.76,0.24
39,0,0.81,0.19
40,0,0.88,0.12
41,0,0.8,0.2
42,0,0.91,0.09
43,0,0.77,0.23
44,0,0.87,0.13
45,0,0.84,0.16
46,0,0.81,0.19
47,0,0.77,0.23
48,0,0.83,0.17
49,0,0.75,0.25
50,0,0.81,0.19
51,0,0.88,0.12
52,0,0.78,0.22
53,0,0.84,0.16
54,0,0.85,0.15
55,0,0.86,0.14
56,0,0.82,0.18
57,0,0.77,0.23
58,0,0.92,0.08
59,0,0.89,0.11
60,0,0.85,0.15
61,0,0.84,0.16
62,0,0.87,0.13
63,0,0.85,0.15
64,0,0.83,0.17
65,0,0.84,0.16
66,0,0.85,0.15
67,0,0.8,0.2
68,0,0.84,0.16
69,0,0.76,0.24
70,0,0.7,0.3
71,0,0.77,0.23
72,0,0.8,0.2
73,0,0.78,0.22
74,0,0.82,0.18
75,0,0.75,0.25
76,0,0.75,0.25
77,0,0.7,0.3
78,0,0.63,0.37
79,0,0.66,0.34
80,0,0.7,0.3
81,0,0.91,0.09
82,0,0.72,0.28
83,0,0.72,0.28
84,0,0.77,0.23
85,0,0.83,0.17
86,0,0.82,0.18
87,0,0.85,0.15
88,0,0.83,0.17
89,0,0.83,0.17
90,0,0.91,0.09
91,0,0.86,0.14
92,0,0.89,0.11
93,0,0.82,0.18
94,0,0.77,0.23
95,0,0.77,0.23
96,0,0.78,0.22
97,0,0.74,0.26
98,0,0.85,0.15
99,0,0.83,0.17
100,0,0.87,0.13
101,0,0.9,0.1
102,0,0.88,0.12
103,0,0.85,0.15
104,0,0.72,0.28
105,0,0.81,0.19
106,0,0.8,0.2
107,0,0.82,0.18
108,0,0.85,0.15
109,0,0.8,0.2
110,0,0.82,0.18
111,0,0.89,0.11
112,0,0.87,0.13
113,0,0.84,0.16
114,0,0.84,0.16
115,0,0.81,0.19
116,0,0.87,0.13
117,0,0.91,0.09
118,0,0.96,0.04
119,0,0.95,0.05
120,0,0.9,0.1
121,0,0.89,0.11
122,0,0.86,0.14
123,0,0.87,0.13
124,0,0.89,0.11
125,0,0.88,0.12
126,0,0.9,0.1
127,0,0.9,0.1
128,0,0.93,0.07
129,0,0.9,0.1
130,0,0.88,0.12
131,0,0.95,0.05
132,0,0.87,0.13
133,0,0.85,0.15
134,0,0.88,0.12
135,0,0.92,0.08
136,0,0.91,0.09
137,0,0.89,0.11
138,0,0.92,0.08
139,0,0.92,0.08
140,0,0.9,0.1
141,0,0.92,0.08
142,0,0.83,0.17
143,0,0.92,0.08
144,0,0.98,0.02
145,0,0.93,0.07
146,0,0.83,0.17
147,0,0.84,0.16
148,0,0.87,0.13
149,0,0.91,0.09
150,0,0.9,0.1
151,0,0.91,0.09
152,0,0.87,0.13
153,0,0.82,0.18
154,0,0.84,0.16
155,0,0.81,0.19
156,0,0.86,0.14
157,0,0.82,0.18
158,0,0.83,0.17
159,0,0.85,0.15
160,0,0.88,0.12
161,0,0.77,0.23
162,0,0.84,0.16
163,0,0.73,0.27
164,0,0.85,0.15
165,0,0.87,0.13
166,0,0.75,0.25
167,0,0.82,0.18
168,0,0.9,0.1
169,0,0.79,0.21
170,0,0.84,0.16
171,0,0.79,0.21
172,0,0.78,0.22
173,0,0.82,0.18
174,0,0.82,0.18
175,0,0.91,0.09
176,0,0.79,0.21
177,0,0.84,0.16
178,0,0.92,0.08
179,0,0.89,0.11
180,0,0.9,0.1
181,0,0.86,0.14
182,0,0.85,0.15
183,0,0.85,0.15
184,0,0.88,0.12
185,0,0.85,0.15
186,0,0.84,0.16
187,0,0.9,0.1
188,0,0.91,0.09
189,0,0.86,0.14
190,0,0.91,0.09
191,0,0.87,0.13
192,0,0.96,0.04
193,0,0.96,0.04
194,0,0.81,0.19
195,0,0.93,0.07
196,0,0.88,0.12
197,0,0.89,0.11
198,0,0.83,0.17
199,0,0.84,0.16
200,0,0.81,0.19
201,0,0.85,0.15
202,0,0.88,0.12
203,0,0.84,0.16
204,0,0.78,0.22
205,0,0.82,0.18
206,0,0.87,0.13
207,0,0.72,0.28
208,0,0.78,0.22
209,0,0.72,0.28
210,0,0.69,0.31
211,0,0.85,0.15
212,0,0.81,0.19
213,0,0.75,0.25
214,0,0.91,0.09
215,0,0.85,0.15
216,0,0.75,0.25
217,0,0.84,0.16
218,0,0.77,0.23
219,0,0.71,0.29
220,0,0.77,0.23
221,0,0.82,0.18
222,0,0.75,0.25
223,0,0.81,0.19
224,0,0.86,0.14
225,0,0.88,0.12
226,0,0.86,0.14
227,0,0.87,0.13
228,0,0.84,0.16
229,0,0.84,0.16
230,0,0.82,0.18
231,0,0.83,0.17
232,0,0.78,0.22
233,0,0.81,0.19
234,0,0.76,0.24
235,0,0.89,0.11
236,0,0.79,0.21
237,0,0.79,0.21
238,0,0.76,0.24
239,0,0.76,0.24
240,0,0.74,0.26
241,0,0.77,0.23
242,0,0.86,0.14
243,0,0.82,0.18
244,0,0.91,0.09
245,0,0.79,0.21
246,0,0.75,0.25
247,0,0.76,0.24
248,0,0.86,0.14
249,0,0.82,0.18
250,0,0.84,0.16
251,0,0.87,0.13
252,0,0.81,0.19
253,0,0.88,0.12
254,0,0.88,0.12
255,0,0.84,0.16
256,0,0.89,0.11
257,0,0.71,0.29
258,0,0.75,0.25
259,0,0.87,0.13
260,0,0.85,0.15
261,0,0.75,0.25
262,0,0.85,0.15
263,0,0.75,0.25
264,0,0.88,0.12
265,0,0.79,0.21
266,0,0.84,0.16
267,0,0.87,0.13
268,0,0.84,0.16
269,0,0.85,0.15
270,0,0.85,0.15
271,0,0.75,0.25
272,0,0.68,0.32
273,0,0.81,0.19
274,0,0.84,0.16
275,0,0.84,0.16
276,0,0.83,0.17
277,0,0.79,0.21
278,0,0.77,0.23
279,0,0.82,0.18
280,0,0.87,0.13
281,0,0.78,0.22
282,0,0.86,0.14
283,0,0.85,0.15
284,0,0.7,0.3
285,0,0.78,0.22
286,0,0.81,0.19
287,0,0.88,0.12
288,0,0.76,0.24
289,0,0.75,0.25
290,0,0.89,0.11
291,0,0.9,0.1
292,0,0.77,0.23
293,0,0.79,0.21
294,0,0.78,0.22
295,0,0.81,0.19
296,0,0.81,0.19
297,0,0.86,0.14
298,0,0.88,0.12
299,0,0.84,0.16
300,0,0.88,0.12
301,0,0.88,0.12
302,0,0.87,0.13
303,0,0.92,0.08
304,0,0.88,0.12
305,0,0.83,0.17
306,0,0.91,0.09
307,0,0.81,0.19
308,0,0.89,0.11
309,0,0.86,0.14
310,0,0.87,0.13
311,0,0.87,0.13
312,0,0.85,0.15
313,0,0.86,0.14
314,0,0.89,0.11
315,0,0.88,0.12
316,0,0.91,0.09
317,0,0.91,0.09
318,0,0.85,0.15
319,0,0.86,0.14
320,0,0.8,0.2
321,0,0.82,0.18
322,0,0.84,0.16
323,0,0.79,0.21
324,0,0.83,0.17
