,class predicted,prob_class_0,prob_class_1
0,0,0.92,0.08
1,0,0.81,0.19
2,0,0.86,0.14
3,0,0.92,0.08
4,0,0.88,0.12
5,0,0.88,0.12
6,0,0.85,0.15
7,0,0.85,0.15
8,0,0.89,0.11
9,0,0.93,0.07
10,0,0.82,0.18
11,0,0.88,0.12
12,0,0.89,0.11
13,0,0.81,0.19
14,0,0.86,0.14
15,0,0.82,0.18
16,0,0.87,0.13
17,0,0.86,0.14
18,0,0.78,0.22
19,0,0.84,0.16
20,0,0.78,0.22
21,0,0.85,0.15
22,0,0.86,0.14
23,0,0.82,0.18
24,0,0.73,0.27
25,0,0.7,0.3
26,0,0.74,0.26
27,0,0.7,0.3
28,0,0.68,0.32
29,0,0.71,0.29
30,0,0.75,0.25
31,0,0.73,0.27
32,0,0.83,0.17
33,0,0.75,0.25
34,0,0.76,0.24
35,0,0.8,0.2
36,0,0.66,0.34
37,0,0.73,0.27
38,0,0.81,0.19
39,0,0.72,0.28
40,0,0.75,0.25
41,0,0.71,0.29
42,0,0.75,0.25
43,0,0.79,0.21
44,0,0.87,0.13
45,0,0.78,0.22
46,0,0.82,0.18
47,0,0.71,0.29
48,0,0.79,0.21
49,0,0.85,0.15
50,0,0.85,0.15
51,0,0.81,0.19
52,0,0.79,0.21
53,0,0.78,0.22
54,0,0.88,0.12
55,0,0.83,0.17
56,0,0.83,0.17
57,0,0.89,0.11
58,0,0.81,0.19
59,0,0.78,0.22
60,0,0.81,0.19
61,0,0.74,0.26
62,0,0.82,0.18
63,0,0.83,0.17
64,0,0.73,0.27
65,0,0.77,0.23
66,0,0.87,0.13
67,0,0.81,0.19
68,0,0.81,0.19
69,0,0.84,0.16
70,0,0.85,0.15
71,0,0.9,0.1
72,0,0.78,0.22
73,0,0.66,0.34
74,0,0.66,0.34
75,0,0.79,0.21
76,0,0.79,0.21
77,0,0.8,0.2
78,0,0.79,0.21
79,0,0.88,0.12
80,0,0.84,0.16
81,0,0.82,0.18
82,0,0.88,0.12
83,0,0.84,0.16
84,0,0.79,0.21
85,0,0.8,0.2
86,0,0.82,0.18
87,0,0.88,0.12
88,0,0.77,0.23
89,0,0.77,0.23
90,0,0.74,0.26
91,0,0.77,0.23
92,0,0.8,0.2
93,0,0.78,0.22
94,0,0.75,0.25
95,0,0.72,0.28
96,0,0.72,0.28
97,0,0.77,0.23
98,0,0.75,0.25
99,0,0.67,0.33
100,0,0.84,0.16
101,0,0.71,0.29
102,0,0.69,0.31
103,0,0.77,0.23
104,0,0.79,0.21
105,0,0.7,0.3
106,0,0.7,0.3
107,0,0.68,0.32
108,0,0.63,0.37
109,0,0.72,0.28
110,0,0.68,0.32
111,0,0.75,0.25
112,0,0.67,0.33
113,0,0.79,0.21
114,0,0.73,0.27
115,0,0.69,0.31
116,0,0.64,0.36
117,0,0.76,0.24
118,0,0.71,0.29
119,0,0.7,0.3
120,0,0.64,0.36
121,0,0.74,0.26
122,0,0.74,0.26
123,0,0.84,0.16
124,0,0.69,0.31
125,0,0.76,0.24
126,0,0.74,0.26
127,0,0.81,0.19
128,0,0.72,0.28
129,0,0.76,0.24
130,0,0.87,0.13
131,0,0.81,0.19
132,0,0.77,0.23
133,0,0.85,0.15
134,0,0.85,0.15
135,0,0.91,0.09
136,0,0.82,0.18
137,0,0.86,0.14
138,0,0.79,0.21
139,0,0.8,0.2
140,0,0.87,0.13
141,0,0.81,0.19
142,0,0.85,0.15
143,0,0.77,0.23
144,0,0.76,0.24
145,0,0.75,0.25
146,0,0.74,0.26
147,0,0.78,0.22
148,0,0.74,0.26
149,0,0.76,0.24
150,0,0.78,0.22
151,0,0.7,0.3
152,0,0.79,0.21
153,0,0.69,0.31
154,0,0.74,0.26
155,0,0.66,0.34
156,0,0.77,0.23
157,0,0.74,0.26
158,0,0.7,0.3
159,0,0.69,0.31
160,0,0.71,0.29
161,0,0.76,0.24
162,0,0.74,0.26
163,0,0.73,0.27
164,0,0.75,0.25
165,0,0.82,0.18
166,0,0.83,0.17
167,0,0.81,0.19
168,0,0.84,0.16
169,0,0.86,0.14
170,0,0.74,0.26
171,0,0.87,0.13
172,0,0.82,0.18
